aX,aY,aZ,gX,gY,gZ
0.314,-0.008,0.545,7.507,-21.729,-2.808
0.266,-0.008,0.600,0.793,-26.489,-3.479
0.227,-0.010,0.648,-3.845,-29.358,-4.578
0.203,-0.016,0.680,-5.127,-31.494,-5.005
0.162,-0.023,0.695,-4.517,-32.043,-4.639
0.133,-0.032,0.705,-2.258,-31.128,-4.089
0.158,-0.038,0.713,1.648,-30.457,-4.272
0.167,-0.038,0.721,4.822,-32.898,-3.845
0.158,-0.045,0.698,5.920,-35.889,-2.686
0.176,-0.045,0.660,4.395,-37.537,-1.770
0.177,-0.046,0.649,2.502,-40.466,-1.221
0.141,-0.039,0.664,0.183,-44.800,-0.671
0.078,-0.030,0.682,-3.357,-46.143,-0.305
0.021,-0.025,0.727,-6.714,-43.945,-0.854
-0.005,-0.032,0.783,-10.681,-41.687,-1.709
-0.000,-0.038,0.828,-14.832,-40.222,-1.892
0.020,-0.049,0.823,-17.517,-38.940,-1.221
0.043,-0.053,0.763,-17.700,-39.185,-0.244
0.071,-0.051,0.695,-15.015,-41.382,0.977
0.086,-0.037,0.639,-9.766,-44.189,1.709
0.084,-0.017,0.608,-3.357,-44.373,1.709
0.098,0.006,0.590,2.747,-43.335,1.282
0.071,0.024,0.622,8.301,-43.274,-0.183
0.019,0.039,0.702,11.292,-39.673,-1.953
-0.023,0.021,0.807,10.254,-29.419,-4.639
-0.031,0.006,0.882,4.822,-17.944,-7.202
-0.044,0.000,0.913,-1.099,-13.855,-9.766
-0.080,-0.011,0.911,-2.930,-17.090,-11.658
-0.074,-0.030,0.902,-0.183,-20.935,-12.390
-0.064,-0.011,0.862,8.118,-24.536,-12.817
-0.090,0.011,0.793,26.062,-26.550,-12.024
-0.095,0.017,0.715,51.025,-23.193,-10.925
-0.048,0.014,0.667,74.646,-14.832,-10.864
0.002,0.001,0.740,91.980,-4.700,-11.230
0.069,-0.022,0.915,97.290,7.019,-11.414
0.090,-0.059,1.130,87.585,13.611,-14.832
0.072,-0.126,1.203,69.519,7.507,-14.893
0.224,-0.189,1.192,37.903,-5.432,-9.827
0.207,-0.173,1.124,4.456,-21.606,-10.254
