aX,aY,aZ,gX,gY,gZ
-2.171,-0.316,0.405,-8.423,83.984,32.715
-2.267,-0.046,0.692,-21.790,109.497,30.701
-2.525,0.204,1.103,-29.602,80.872,28.381
-2.881,0.477,1.209,-11.169,8.667,29.236
-3.146,0.693,1.045,32.227,-57.617,45.166
-3.346,0.995,0.832,59.814,-96.313,70.374
-3.437,1.346,0.672,58.777,-100.281,100.037
-3.494,1.724,0.585,41.138,-77.271,136.047
-3.229,2.047,0.582,19.592,-39.490,179.138
-2.680,2.370,0.561,2.319,-4.028,225.159
-2.164,2.611,0.501,-5.127,8.850,259.216
-1.640,2.780,0.520,-13.306,3.418,278.259
-1.138,2.921,0.631,-26.184,-2.930,283.020
-0.715,3.013,0.725,-33.813,-7.568,276.306
-0.495,3.024,0.854,-32.166,-20.691,262.634
-0.372,3.019,0.901,-20.935,-36.621,247.620
-0.166,2.972,0.911,-4.822,-42.053,240.295
0.240,2.919,1.029,4.028,-39.001,236.145
0.625,2.838,1.097,6.226,-48.157,226.318
0.952,2.650,1.233,8.484,-76.294,211.365
1.349,2.530,1.448,10.986,-106.995,200.012
1.980,2.387,1.770,14.465,-122.314,189.209
2.629,2.233,1.995,20.142,-125.549,165.466
3.092,2.030,2.163,28.320,-117.981,124.939
3.419,1.763,2.294,31.128,-98.389,69.214
3.521,1.512,2.341,28.748,-73.425,7.751
3.480,1.215,2.323,33.203,-46.692,-54.077
3.411,0.982,2.217,44.495,-16.235,-108.276
3.415,0.794,2.059,52.612,18.311,-149.658
3.282,0.552,1.952,54.443,45.044,-190.186
2.950,0.417,1.846,54.016,56.519,-234.436
2.510,0.275,1.692,56.702,62.683,-275.208
2.045,0.125,1.493,62.439,63.354,-307.007
1.482,-0.037,1.265,65.735,54.138,-329.956
1.025,-0.399,1.109,60.974,46.936,-342.712
0.661,-0.844,1.048,49.927,42.664,-344.849
0.224,-1.229,1.011,38.574,35.400,-337.952
-0.217,-1.637,0.951,33.325,31.128,-321.716
-0.630,-2.037,0.742,35.278,34.729,-298.767
-0.950,-2.213,0.332,37.109,56.519,-269.470
-1.241,-2.274,0.011,28.687,101.807,-235.046
-1.428,-2.269,-0.116,-1.099,154.602,-204.346
-1.456,-2.129,-0.036,-43.701,198.120,-176.086
-1.454,-1.910,0.412,-74.463,221.313,-144.897
-1.639,-1.646,1.028,-79.590,199.951,-113.647
-1.956,-1.465,1.467,-54.626,115.051,-82.581
-2.242,-1.433,1.607,-9.033,1.160,-53.345
-2.283,-1.331,1.288,40.894,-90.576,-21.729
-2.551,-1.189,0.479,73.181,-141.785,2.991
-3.109,-1.078,-0.210,65.918,-135.315,11.780
-3.433,-0.986,-0.168,10.437,-62.073,25.574
-3.382,-0.671,0.307,-62.500,31.189,50.476
-3.092,-0.290,0.831,-94.177,98.083,86.243
-2.725,0.057,1.130,-70.801,121.216,121.460
-2.546,0.395,1.152,-26.245,97.656,148.132
-2.583,0.725,1.003,11.047,42.969,161.072
-2.690,1.085,0.917,31.494,-2.563,169.250
-2.731,1.511,0.971,30.701,-13.977,180.420
-2.631,1.901,1.079,17.212,-2.991,198.669
-2.395,2.194,1.170,4.578,11.963,219.116
-2.055,2.457,1.175,0.977,21.057,238.281
-1.687,2.745,1.022,8.057,19.714,255.493
-1.323,2.960,0.871,16.357,5.798,267.822
-0.903,3.078,0.885,10.986,-14.221,270.569
-0.421,3.208,0.998,2.075,-27.100,266.113
0.006,3.217,1.130,7.080,-39.001,256.714
0.229,3.134,1.115,22.278,-64.148,241.577
0.284,2.944,0.923,39.917,-93.750,221.069
0.299,2.733,0.668,52.246,-99.426,201.721
0.482,2.509,0.529,48.157,-83.191,189.331
0.732,2.294,0.547,26.611,-69.763,175.720
1.060,2.132,0.779,2.502,-66.162,158.264
1.445,1.958,1.129,-14.954,-67.322,143.555
1.964,1.811,1.482,-19.592,-74.036,128.723
2.559,1.628,1.730,-11.108,-80.872,106.995
