aX,aY,aZ,gX,gY,gZ
0.393,0.803,4.000,155.823,111.023,-49.744
0.109,0.800,3.783,177.307,117.065,-63.232
-0.241,0.769,3.326,194.092,132.141,-72.815
-0.575,0.742,2.974,199.768,154.236,-79.956
-0.865,0.721,2.662,204.163,179.626,-80.872
-1.085,0.711,2.327,212.769,200.073,-77.087
-1.319,0.701,1.985,220.764,208.496,-72.754
-1.482,0.698,1.671,226.196,208.984,-65.186
-1.599,0.692,1.341,232.971,206.909,-54.199
-1.674,0.661,0.968,242.676,198.730,-41.748
-1.742,0.654,0.555,247.559,181.458,-32.227
-1.739,0.627,0.167,242.798,159.546,-22.400
-1.657,0.612,-0.199,231.201,143.921,-8.728
-1.552,0.588,-0.526,216.431,147.034,7.080
-1.429,0.499,-0.631,197.327,173.462,24.841
-1.197,0.453,-0.590,175.964,210.205,36.682
-0.948,0.468,-0.697,167.236,235.901,43.457
-0.749,0.470,-0.940,172.058,242.126,48.462
-0.569,0.455,-1.244,174.561,232.971,46.631
-0.453,0.487,-1.599,168.945,213.989,40.222
-0.358,0.508,-1.962,161.438,188.049,32.776
-0.310,0.522,-2.272,146.606,156.189,25.940
-0.275,0.493,-2.508,123.779,121.765,18.494
-0.247,0.425,-2.630,94.116,90.515,11.597
-0.186,0.371,-2.602,55.481,65.491,8.789
-0.035,0.346,-2.452,17.395,47.607,9.705
0.052,0.325,-2.301,-8.545,27.710,7.080
-0.018,0.311,-2.242,-25.085,2.075,-1.587
-0.106,0.314,-2.271,-35.461,-22.888,-7.690
-0.174,0.317,-2.351,-43.213,-49.805,-6.897
-0.194,0.339,-2.379,-56.274,-83.008,-5.249
-0.199,0.346,-2.313,-76.538,-117.493,-5.005
-0.252,0.375,-2.229,-97.961,-143.433,-4.822
-0.299,0.406,-2.154,-119.202,-155.701,-3.723
-0.413,0.434,-2.082,-141.052,-159.424,-4.395
-0.585,0.466,-1.919,-163.086,-155.762,-6.042
-0.839,0.534,-1.740,-179.993,-153.259,-4.944
-1.109,0.603,-1.600,-187.866,-163.940,-0.732
-1.336,0.720,-1.437,-194.397,-187.012,5.127
-1.468,0.832,-1.213,-204.041,-218.994,11.169
-1.554,0.926,-0.974,-214.233,-251.282,14.404
-1.624,1.003,-0.641,-227.844,-272.339,15.259
-1.647,1.072,-0.233,-248.047,-274.536,13.672
-1.730,1.160,0.312,-265.991,-258.850,10.864
-1.715,1.265,1.029,-280.884,-230.530,12.573
-1.598,1.330,1.954,-295.166,-203.674,18.982
-1.521,1.366,2.888,-300.171,-194.275,19.409
-1.415,1.365,3.748,-283.691,-196.655,20.996
-1.051,1.324,4.000,-257.141,-192.749,30.640
-0.745,1.259,4.000,-222.595,-186.523,36.499
-0.508,1.158,4.000,-182.129,-185.364,33.508
-0.338,1.065,4.000,-147.034,-184.692,29.114
-0.158,0.969,4.000,-121.338,-172.729,27.710
0.063,0.907,4.000,-103.882,-148.621,30.029
0.339,0.866,4.000,-91.797,-111.267,32.959
0.582,0.850,4.000,-79.773,-65.247,34.607
0.749,0.821,4.000,-63.110,-24.841,33.142
1.004,0.810,4.000,-47.729,6.104,31.311
1.234,0.826,4.000,-28.931,31.860,26.306
1.412,0.832,4.000,-2.136,55.237,14.587
1.407,0.835,4.000,27.954,74.219,-5.005
1.241,0.821,4.000,63.538,86.182,-26.855
1.002,0.806,4.000,102.722,94.177,-45.654
0.722,0.799,4.000,138.000,96.069,-60.120
0.344,0.782,4.000,161.438,94.360,-74.036
-0.099,0.745,3.921,179.077,99.670,-86.243
-0.458,0.739,3.613,193.176,117.920,-91.125
-0.761,0.741,3.342,203.979,141.846,-89.355
-1.073,0.736,3.015,216.064,164.734,-86.975
-1.331,0.762,2.650,227.905,186.951,-83.801
-1.525,0.779,2.236,242.920,208.313,-75.684
-1.671,0.785,1.800,257.996,224.609,-62.866
-1.739,0.797,1.367,269.348,232.117,-50.781
-1.845,0.772,0.894,277.039,224.792,-45.593
-1.942,0.753,0.449,274.353,205.933,-45.044
-1.972,0.754,0.016,266.052,183.167,-40.405
-1.925,0.722,-0.374,258.118,165.100,-25.391
-1.774,0.701,-0.662,245.483,157.410,-2.808
-1.566,0.663,-0.820,228.210,156.433,21.362
-1.312,0.635,-0.982,212.585,158.203,40.771
-1.076,0.647,-1.236,201.233,162.781,51.941
-0.876,0.644,-1.516,193.604,168.823,55.542
-0.684,0.633,-1.799,185.120,174.500,55.664
-0.507,0.642,-2.148,174.988,176.086,53.223
-0.325,0.625,-2.498,158.020,169.861,47.668
-0.136,0.546,-2.679,129.578,155.334,40.405
-0.009,0.492,-2.683,91.370,133.179,33.081
0.073,0.463,-2.548,55.603,107.117,27.039
0.164,0.420,-2.379,29.419,75.562,23.071
0.255,0.385,-2.161,10.071,36.499,18.616
0.329,0.355,-2.005,-1.831,-5.432,9.888
0.346,0.360,-2.053,-2.930,-41.870,-0.977
0.334,0.375,-2.245,-0.488,-70.007,-9.033
0.201,0.377,-2.446,-10.315,-92.407,-18.921
0.036,0.379,-2.619,-36.255,-106.445,-27.100
-0.136,0.384,-2.751,-69.702,-106.384,-30.029
-0.401,0.422,-2.728,-107.666,-101.990,-30.212
-0.656,0.460,-2.547,-146.545,-105.957,-27.954
